Customer Id,emp_title,annual_inc,addr_state,avg_cur_bal,tot_cur_bal,loan_id,loan_amount,state,funded_amount,int_rate,grade,issue_date,pymnt_plan,purpose,description,annual_inc_joint_original,emp_length_years,month_number,salary_can_cover,letter_grade,monthly_rate,term_int,installement_per_month,zip_code_header,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,loan_status_Charged Off,loan_status_Current,loan_status_Default,loan_status_Fully Paid,loan_status_In Grace Period,loan_status_Late (16-30 days),loan_status_Late (31-120 days),term_ 36 months,term_ 60 months,type_DIRECT_PAY,type_INDIVIDUAL,type_JOINT,grade_label,state_label,addr_state_label
YidceGIzXHgwNFx4ZDNPXHhjOVx4YTZceDFmZ15RJCxceGVhXHgwNW9ceDA2JVx4MDZceDhmXHhlNy1ceGQ2XHgwOFx4YTlceGIwXHgxZXRceDdmWlx4YzlceGExXHhjMSc=_stream,vice president of student affairs,12.013706813470414,OK,10.858960535285439,13.056161607167859,230910,10.151362740069521,OK,10.151362740069521,0.2534,25,2018-09-18,False,debt_consolidation,Debt consolidation,,10,9,False,E,0.02111666666666667,60,6.631005299073624,730,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,4,35,35
YidceGE3aD5ceGY3VFx4YjRuflx4YmRKMXJGXHhjNlx4YjJmXHg4YVx4MTIgXVx4OGFyXHgxMmpceDk4XHgxOFx4MDFceGZiXHhjYiAkXHgwNic=_stream,human resources,11.429554725537322,MD,9.306468399070404,12.139596247922313,218803,10.085850775128717,MD,10.085850775128717,0.1399,15,2016-01-16,False,debt_consolidation,Debt consolidation,,1,1,False,C,0.011658333333333333,60,6.32671032344964,207,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,2,19,19
YidceGJkYyBceDg0XHhkMFx4MGNceGJkXHhjMVx4OTYiXHhiMVFceGFkXHgwMlx4YTRceDExSFx4OGZceGFjXHhjYlx4ZmVoV1x4OTlceGI1XHhjNilceGExTkZceDhlLCc=_stream,director of pr and marketing,11.608244735642321,NH,9.883131772279054,12.280989932957066,231342,10.165890277802454,NH,10.165890277802454,0.1099,7,2015-11-15,False,debt_consolidation,Debt consolidation,,10,11,False,B,0.009158333333333333,36,6.747684554679569,32,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1,29,29
YidUY1x4ODNlXHg5M3EwXHhiNVx4OGZceDk5V1x0XHhkYWJceGRmXHhhM1x4MGVceGVjJFx4ZGJtIy9ceDk0XHhiMVx4ZDNceGQ1XHg4MVx4ZDZceDE4W1x4ZTcn_stream,ultrasound technician,11.407576060361786,CA,9.169622538697624,11.248959919135764,198564,9.90353755128617,CA,9.90353755128617,0.1356,14,2018-12-18,False,debt_consolidation,Debt consolidation,12.30592250537653,10,12,False,C,0.0113,60,6.135165181789106,940,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,2,4,4
YidceGVmTkxceGUyMlx4MWU+Y1x4Yzg8XHg4N1x4ODA4fFx4ZGZceGFhfFx4ZThceGJmXHhjYlx4MDhIMV1cblx4ZmVKeVx4YTRceDk0XHhlNyUn_stream,nurse,10.545367754151743,GA,8.688285266258644,11.253053093157714,134551,9.472781556562168,GA,9.472781556562168,0.1449,13,2016-07-16,False,debt_consolidation,Debt consolidation,,2,7,False,C,0.012075,60,5.726195546900763,301,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,2,10,10
